	Unnamed: 0.1	Unnamed: 0	Run_ID	Chl	TSM	a_440_cdom	T	S	theta	phi	Chl_comp_1	Chl_comp_2	Bp	Bm	a_440_p	a_440_m	b_440_p	b_440_m	400	412.5	442.5	490	510	560	620	665	673.75	681.25	708.75	753.75	761.25	764.38	767.5	778.75	865	885	900	940	1020
153	153	153	20203	1.3	1.4	0.294	0	25	30	30	1	2	0.008	0.012	0.065	0.086	0.441	1.148	0.0012023	0.0013797	0.0019088	0.0033615	0.0038357	0.0047025	0.0018425	0.0010855	0.0009981	0.0009547	0.0006112	0.0001821	0.0001774999999999	0.0001733	0.0001776	0.0001856	7.85e-05	6.49e-05	5.8e-05	1.44e-05	1.11e-05
168	168	168	20221	0.08	1.0	0.1	20	5	30	15	1	3	0.018	0.035	0.0069999999999999	0.061	0.078	0.273	0.0023348	0.0025915	0.0033456	0.0048827	0.0046938	0.0042375	0.0012786	0.0007913999999999	0.0007477	0.0007117	0.0004031	0.0001205	0.000115	0.0001157	0.0001247	0.0001337	5.51e-05	4.4e-05	3.97e-05	7.9e-06	8.7e-06
185	185	185	20245	0.38	0.4	0.208	0	30	10	60	1	2	0.012	0.0069999999999999	0.03	0.025	0.206	0.383	0.0010733	0.0011159	0.0012488	0.0015825	0.0015902999999999	0.001552	0.0005902	0.0003545	0.000328	0.0003081	0.0001893	5.479999999999999e-05	5.41e-05	5.39e-05	5.16e-05	5.260000000000001e-05	2.55e-05	1.810000000000001e-05	1.64e-05	3.700000000000001e-06	3.6000000000000007e-06
192	192	192	20253	2.7	1.3	0.238	0	15	60	15	1	2	0.0069999999999999	0.018	0.212	0.08	0.6940000000000001	0.711	0.0011069	0.0012497	0.0016147	0.0027678	0.0031471	0.0040676	0.0017598	0.0009666	0.0008556	0.0008404999999999	0.0006263	0.0001839	0.000179	0.0001778	0.0001784	0.0001908	7.950000000000001e-05	6.579999999999999e-05	5.89e-05	1.36e-05	1.14e-05
196	196	196	20259	0.34	0.6	0.194	30	35	20	15	1	4	0.012	0.02	0.019	0.037	0.192	0.246	0.0011547	0.0012882	0.0016799	0.0026039	0.0026601	0.0027039	0.0008257999999999	0.0005141	0.0004856	0.0004652	0.000258	7.37e-05	7.52e-05	7.5e-05	7.659999999999999e-05	8.39e-05	2.8600000000000007e-05	2.87e-05	2.55e-05	4.5e-06	4.6e-06
197	197	197	20260	0.5	0.5	1.0	20	20	50	15	1	2	0.01	0.014	0.022	0.031	0.244	0.273	0.0002185	0.0002516	0.0003551	0.0005745	0.0006695	0.0009436	0.0006017	0.0004187	0.0004019	0.0003863	0.0002239	6.18e-05	6.35e-05	6.21e-05	6.37e-05	7.240000000000001e-05	2.8000000000000006e-05	2.47e-05	1.93e-05	3.8e-06	3.9e-06
198	198	198	20261	0.27	0.5	0.23	30	5	60	45	1	5	0.012	0.008	0.021	0.031	0.1669999999999999	0.478	0.0009401	0.0010011	0.0011837	0.0016018	0.0016246	0.0016852999999999	0.0006181	0.000395	0.0003745	0.0003558	0.0001976	5.7200000000000015e-05	6.12e-05	6.12e-05	6.18e-05	6.879999999999999e-05	2.55e-05	2.22e-05	1.82e-05	5.400000000000002e-06	4.6e-06
200	200	200	20264	2.2	0.5	0.226	0	0	40	60	1	3	0.0069999999999999	0.014	0.133	0.031	0.611	0.273	0.0009417	0.00098	0.0010953	0.0015507	0.0017128	0.0020854	0.0008228999999999	0.0004724	0.0004291	0.0004126	0.0002833	8.65e-05	8.290000000000001e-05	8e-05	8.25e-05	8.62e-05	3.18e-05	2.8300000000000007e-05	2.44e-05	4.2e-06	5.3e-06
208	208	208	20275	1.3	1.3	0.108	20	15	50	60	1	2	0.008	0.014	0.076	0.08	0.441	0.888	0.002317	0.0024905	0.0029899	0.0045525	0.0046726999999999	0.0049651	0.0016715	0.0009971	0.0009264	0.0008877	0.0005462999999999	0.0001603	0.0001601	0.000164	0.0001626999999999	0.0001771	7.070000000000001e-05	5.85e-05	5.21e-05	1.1e-05	1.09e-05
217	217	217	20286	0.34	0.04	0.274	30	35	30	30	1	2	0.012	0.001	0.019	0.003	0.192	0.022	0.0005343	0.0005847	0.0007335	0.0010595999999999	0.0010811	0.0010755	0.0003168999999999	0.0001917	0.0001754999999999	0.0001678	9.15e-05	2.69e-05	2.55e-05	2.56e-05	2.65e-05	2.78e-05	1.02e-05	8.2e-06	5.400000000000002e-06	1e-06	1.2e-06
227	227	227	20301	1.0	0.6	0.19	10	10	10	45	1	4	0.009	0.009	0.119	0.037	0.375	0.574	0.0009668	0.0010603	0.0013107999999999	0.0021613	0.0023507	0.0027736	0.0009000999999999	0.0005291	0.0004763	0.0004595	0.0002981	8.98e-05	8.51e-05	8.43e-05	8.759999999999999e-05	9.05e-05	3.6e-05	3.12e-05	2.32e-05	6e-06	5.400000000000002e-06
239	239	239	20316	1.3	0.1	0.214	5	10	30	45	1	5	0.008	0.001	0.057	0.006	0.441	0.068	0.0007172999999999	0.0007662999999999	0.0008961	0.001255	0.0012859	0.0012615	0.0004339	0.0002438	0.0002276	0.0002165	0.0001294	3.97e-05	3.53e-05	3.53e-05	3.73e-05	3.78e-05	1.64e-05	1.33e-05	1.16e-05	3.700000000000001e-06	2.6e-06
240	240	240	20317	5.4	0.2	0.188	25	35	10	30	1	3	0.006	0.003	0.376	0.012	1.067	0.1369999999999999	0.0007032	0.0006862999999999	0.0006749	0.0009222	0.0010591	0.0015417	0.0005869	0.0003128	0.0002712	0.0002734	0.0002222	6.26e-05	6.4e-05	6.620000000000001e-05	6.64e-05	6.95e-05	2.7600000000000007e-05	2.21e-05	1.7100000000000002e-05	5.8e-06	2.7000000000000004e-06
242	242	242	20319	2.5	1.2	0.298	10	15	80	60	1	5	0.0069999999999999	0.024	0.106	0.074	0.662	0.4920000000000001	0.0013816	0.0014539	0.0016743	0.0023721	0.0025658	0.0030408	0.0015494	0.0009678	0.0008968	0.0008652999999999	0.0005711	0.0001719	0.0001689	0.0001675999999999	0.0001691	0.0001803	7.5e-05	6.47e-05	5.400000000000001e-05	1.17e-05	1.09e-05
250	250	250	20328	1.5	0.1	0.188	0	20	50	15	1	2	0.008	0.001	0.055	0.006	0.482	0.055	0.0008342	0.0009006999999999	0.0010887	0.0015693	0.0016008	0.0015359	0.0004821	0.000271	0.0002474	0.0002329	0.0001443	4.09e-05	3.73e-05	3.52e-05	3.620000000000001e-05	4.17e-05	1.22e-05	1.36e-05	1.27e-05	2.3e-06	2.6e-06
260	260	260	20341	3.2	1.2	0.186	30	15	20	60	1	5	0.0069999999999999	0.014	0.129	0.074	0.7709999999999999	0.82	0.0015928	0.0017303	0.0021185	0.0034138	0.0036786	0.0043129	0.0016695999999999	0.000998	0.0009185	0.0008964999999999	0.0005627	0.0001629999999999	0.0001629999999999	0.0001636	0.0001693	0.0001898	7.759999999999999e-05	6.39e-05	5.67e-05	1.1e-05	1.22e-05
